Fiscal Year Range,Department,Division,Org Code,Org Description,Fund Code,Fund Description,Project Code,Project Description,Program Code,Program Description,Account Type,Account Category,Account Code,Account Description,Amount,Budget Type,Budget Name,Amount as number
FY14-15,City Council,City Council,11, City Council: Administration,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Civilian Salaries,51111,Civilian: Regular,84669,1,Adopted,84669
FY14-15,City Council,City Council,11, City Council: Administration,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Civilian Salaries,51511,Civilian: Paid Leave Charge,23395,1,Adopted,23395
FY14-15,City Council,City Council,11, City Council: Administration,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Civilian Retirement,51611,Civilian: Retirement Accrual,31447,1,Adopted,31447
FY14-15,City Council,City Council,11, City Council: Administration,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,42739,1,Adopted,42739
FY14-15,City Council,City Council,11, City Council: Administration,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Misc. Personnel Adjustments,51912,Adjustments: Miscellaneous Payroll (Not Subject to Retirement),-9154,1,Adopted,-9154
FY14-15,City Council,City Council,11, City Council: Administration,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,52211,Stationery and Office Supplies,3000,1,Adopted,3000
FY14-15,City Council,City Council,11, City Council: Administration,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,52911,Bottled Water and Food for Human Consumption,15000,1,Adopted,15000
FY14-15,City Council,City Council,11, City Council: Administration,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,53116,Telephone,26020,1,Adopted,26020
FY14-15,City Council,City Council,11, City Council: Administration,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,53313,Official Hospitality,9000,1,Adopted,9000
FY14-15,City Council,City Council,11, City Council: Administration,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,53611,Postage and Mailing,1400,1,Adopted,1400
FY14-15,City Council,City Council,11, City Council: Administration,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Contract Services,54011,Contract Contingencies (Budgetary Only),30000,1,Adopted,30000
FY14-15,City Council,City Council,11, City Council: Administration,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Contract Services,54611,Repair and Maintenance: Machinery and Equipment,500,1,Adopted,500
FY14-15,City Council,City Council,11, City Council: Administration,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Contract Services,54711,Printing and Duplicating Services,600,1,Adopted,600
FY14-15,City Council,City Council,11, City Council: Administration,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Contract Services,54811,Temporary Personnel Services,2000,1,Adopted,2000
FY14-15,City Council,City Council,11, City Council: Administration,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Travel & Education,55211,Periodical Subscriptions,250,1,Adopted,250
FY14-15,City Council,City Council,11, City Council: Administration,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Internal Services & Work Orders,56113,Facilities: General Support,178368,1,Adopted,178368
FY14-15,City Council,City Council,11, City Council: Administration,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Internal Services & Work Orders,56123,City Accounting Services,2054,1,Adopted,2054
FY14-15,City Council,City Council,11, City Council: Administration,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Internal Services & Work Orders,56124,City Contract Compliance Dept-Purchasing Services,68,1,Adopted,68
FY14-15,City Council,City Council,11, City Council: Administration,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Internal Services & Work Orders,56312,Duplicating,7170,1,Adopted,7170
FY14-15,City Council,City Council,111, District One,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Civilian Salaries,51111,Civilian: Regular,201021,1,Adopted,201021
FY14-15,City Council,City Council,111, District One,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Allowances & Premiums,51313,"Allowance: Auto Flat (1, 2, Partially 3)",6600,1,Adopted,6600
FY14-15,City Council,City Council,111, District One,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Civilian Salaries,51511,Civilian: Paid Leave Charge,36961,1,Adopted,36961
FY14-15,City Council,City Council,111, District One,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Civilian Retirement,51611,Civilian: Retirement Accrual,66771,1,Adopted,66771
FY14-15,City Council,City Council,111, District One,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,93012,1,Adopted,93012
FY14-15,City Council,City Council,111, District One,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Misc. Personnel Adjustments,51912,Adjustments: Miscellaneous Payroll (Not Subject to Retirement),-8282,1,Adopted,-8282
FY14-15,City Council,City Council,111, District One,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,52211,Stationery and Office Supplies,220,1,Adopted,220
FY14-15,City Council,City Council,111, District One,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,53116,Telephone,1290,1,Adopted,1290
FY14-15,City Council,City Council,111, District One,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,53313,Official Hospitality,2910,1,Adopted,2910
FY14-15,City Council,City Council,111, District One,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,53611,Postage and Mailing,400,1,Adopted,400
FY14-15,City Council,City Council,111, District One,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Contract Services,54619,Repair and Maintenance: Miscellaneous,360,1,Adopted,360
FY14-15,City Council,City Council,111, District One,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Contract Services,54711,Printing and Duplicating Services,200,1,Adopted,200
FY14-15,City Council,City Council,111, District One,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Contract Services,54919,Services: Miscellaneous Contract,500,1,Adopted,500
FY14-15,City Council,City Council,111, District One,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Travel & Education,55112,Commercial Transportation,100,1,Adopted,100
FY14-15,City Council,City Council,111, District One,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Travel & Education,55114,Per Diem and Lodging,400,1,Adopted,400
FY14-15,City Council,City Council,111, District One,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Travel & Education,55119,"Miscellaneous Travel Expenditures (Tips, Parking)",1420,1,Adopted,1420
FY14-15,City Council,City Council,111, District One,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Travel & Education,55212,Registration and Tuition,1500,1,Adopted,1500
FY14-15,City Council,City Council,111, District One,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Travel & Education,55311,Memberships: Employee Association Dues,100,1,Adopted,100
FY14-15,City Council,City Council,111, District One,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Internal Services & Work Orders,56312,Duplicating,350,1,Adopted,350
FY14-15,City Council,City Council,211, District Two,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Civilian Salaries,51111,Civilian: Regular,201021,1,Adopted,201021
FY14-15,City Council,City Council,211, District Two,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Allowances & Premiums,51313,"Allowance: Auto Flat (1, 2, Partially 3)",6600,1,Adopted,6600
FY14-15,City Council,City Council,211, District Two,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Allowances & Premiums,51426,Premium: Miscellaneous,3363,1,Adopted,3363
FY14-15,City Council,City Council,211, District Two,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Civilian Salaries,51511,Civilian: Paid Leave Charge,36961,1,Adopted,36961
FY14-15,City Council,City Council,211, District Two,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Civilian Retirement,51611,Civilian: Retirement Accrual,66771,1,Adopted,66771
FY14-15,City Council,City Council,211, District Two,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,93012,1,Adopted,93012
FY14-15,City Council,City Council,211, District Two,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Misc. Personnel Adjustments,51912,Adjustments: Miscellaneous Payroll (Not Subject to Retirement),-8350,1,Adopted,-8350
FY14-15,City Council,City Council,211, District Two,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,52211,Stationery and Office Supplies,250,1,Adopted,250
FY14-15,City Council,City Council,211, District Two,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,52213,"Minor Computer Hardware and Software (No Asset Number, Not Capitalized)",2010,1,Adopted,2010
FY14-15,City Council,City Council,211, District Two,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,53116,Telephone,800,1,Adopted,800
FY14-15,City Council,City Council,211, District Two,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,53311,City Promotion,100,1,Adopted,100
FY14-15,City Council,City Council,211, District Two,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,53313,Official Hospitality,1730,1,Adopted,1730
FY14-15,City Council,City Council,211, District Two,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,53611,Postage and Mailing,300,1,Adopted,300
FY14-15,City Council,City Council,211, District Two,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Contract Services,54919,Services: Miscellaneous Contract,750,1,Adopted,750
