Fiscal Year Range,Account Type,Department,Division,Org Code,Org Description,Fund Code,Fund Description,Project Code,Project Description,Program Code,Program Description,Account Category,Account Code,Account Description,Amount,Budget Type,Budget Name,Amount as number
FY15-16,Expense,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Services & Supplies,52211,Stationery and Office Supplies,3000,3,Proposed,3000
FY15-16,Expense,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Services & Supplies,52911,Bottled Water and Food for Human Consumption,15000,3,Proposed,15000
FY15-16,Expense,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Internal Services & Work Orders,56113,Facilities: General Support,286449,3,Proposed,286449
FY15-16,Expense,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Contract Services,54611,Repair and Maintenance: Machinery and Equipment,500,3,Proposed,500
FY15-16,Expense,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,41585,3,Proposed,41585
FY15-16,Expense,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Internal Services & Work Orders,56111,Special Setups,37460,3,Proposed,37460
FY15-16,Expense,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Internal Services & Work Orders,56123,City Accounting Services,3110,3,Proposed,3110
FY15-16,Expense,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Travel & Education,55211,Periodical Subscriptions,250,3,Proposed,250
FY15-16,Expense,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Civilian Salaries,51511,Civilian: Paid Leave Charge,24474,3,Proposed,24474
FY15-16,Expense,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Internal Services & Work Orders,56312,Duplicating,7170,3,Proposed,7170
FY15-16,Expense,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Contract Services,54011,Contract Contingencies (Budgetary Only),30000,3,Proposed,30000
FY15-16,Expense,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Civilian Retirement,51611,Civilian: Retirement Accrual,35204,3,Proposed,35204
FY15-16,Expense,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Civilian Salaries,51111,Civilian: Regular,82400,3,Proposed,82400
FY15-16,Expense,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Services & Supplies,53116,Telephone,26020,3,Proposed,26020
FY15-16,Expense,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Contract Services,54711,Printing and Duplicating Services,600,3,Proposed,600
