Fiscal Year Range,Account Type,Department,Division,Org Code,Org Description,Fund Code,Fund Description,Project Code,Project Description,Program Code,Program Description,Account Code,Account Description,Account Category,Amount,Budget Type,Budget Name,Amount as number
FY16-17,Revenue,Non-Departmental,Non-Departmental,90411,Debt Service,6064,"GO Refunding Bonds, Series 2015A",0,UNDETERMINED PROJECT,IN09,DEBT/LEASE PAYMENTS,41211,Voter-Approved: Current Secured,Local Tax,14736725,1,Adopted,14736725
FY16-17,Expense,Non-Departmental,Non-Departmental,90411,Debt Service,6064,"GO Refunding Bonds, Series 2015A",0,UNDETERMINED PROJECT,IN09,DEBT/LEASE PAYMENTS,58111,Bank and Bond Expenditures,Debt Payments,5000,1,Adopted,5000
FY16-17,Expense,Non-Departmental,Non-Departmental,90411,Debt Service,6064,"GO Refunding Bonds, Series 2015A",0,UNDETERMINED PROJECT,IN09,DEBT/LEASE PAYMENTS,58213,Bond Principal,Debt Payments,8695000,1,Adopted,8695000
FY16-17,Expense,Non-Departmental,Non-Departmental,90411,Debt Service,6064,"GO Refunding Bonds, Series 2015A",0,UNDETERMINED PROJECT,IN09,DEBT/LEASE PAYMENTS,58215,Interest on Long-Term Debt,Debt Payments,6036725,1,Adopted,6036725
FY16-17,Expense,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,51111,Civilian: Regular,Civilian Salaries,111890,1,Adopted,111890
FY16-17,Expense,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,51511,Civilian: Paid Leave Charge,Civilian Salaries,33233,1,Adopted,33233
FY16-17,Expense,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,51611,Civilian: Retirement Accrual,Civilian Retirement,51373,1,Adopted,51373
FY16-17,Expense,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,51613,Civilian: Fringe Benefits Accrual,Civilian Fringe Benefits,56468,1,Adopted,56468
FY16-17,Expense,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,52211,Stationery and Office Supplies,Services & Supplies,3000,1,Adopted,3000
FY16-17,Expense,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,52911,Bottled Water and Food for Human Consumption,Services & Supplies,15000,1,Adopted,15000
