Fiscal Year Range,Department,Division,Org Code,Org Description,Fund Code,Fund Description,Program Code,Program Description,Account Type,Account Code,Account Category,Account Description,Amount,Amount as number,Budget Type,Budget Name
FY14-15,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,IP01,MAYOR'S SUPPORT,Expense,53611,Services & Supplies,Postage and Mailing,3200,3200,3,Proposed
FY14-15,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,IP01,MAYOR'S SUPPORT,Expense,52614,Services & Supplies,Books,250,250,3,Proposed
FY14-15,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,IP01,MAYOR'S SUPPORT,Expense,51111,Civilian Salaries,Civilian: Regular,921204,921204,3,Proposed
FY14-15,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,IP01,MAYOR'S SUPPORT,Expense,51912,Sworn Salaries,Adjustments: Miscellaneous Payroll (Not Subject to Retirement),-209054,-209054,3,Proposed
FY14-15,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,IP01,MAYOR'S SUPPORT,Expense,55211,Operation & Maintenance,Periodical Subscriptions,1300,1300,3,Proposed
FY14-15,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,IP01,MAYOR'S SUPPORT,Expense,55119,Operation & Maintenance,"Miscellaneous Travel Expenditures (Tips, Parking)",6500,6500,3,Proposed
FY14-15,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,IP01,MAYOR'S SUPPORT,Expense,55112,Operation & Maintenance,Commercial Transportation,4179,4179,3,Proposed
FY14-15,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,IP01,MAYOR'S SUPPORT,Expense,53719,Services & Supplies,Miscellaneous Services,1400,1400,3,Proposed
FY14-15,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,IP01,MAYOR'S SUPPORT,Expense,53313,Services & Supplies,Official Hospitality,1710,1710,3,Proposed
FY14-15,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,IP01,MAYOR'S SUPPORT,Expense,53311,Services & Supplies,City Promotion,570,570,3,Proposed
FY14-15,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,IP01,MAYOR'S SUPPORT,Expense,51613,Civilian Fringe Benefits,Civilian: Fringe Benefits Accrual,441943,441943,3,Proposed
FY14-15,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,IP01,MAYOR'S SUPPORT,Expense,51511,Civilian Salaries,Civilian: Paid Leave Charge,203876,203876,3,Proposed
FY14-15,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,IP01,MAYOR'S SUPPORT,Expense,52211,Services & Supplies,Stationery and Office Supplies,8430,8430,3,Proposed
FY14-15,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,IP01,MAYOR'S SUPPORT,Expense,56123,Internal Services & Work Orders,City Accounting Services,769,769,3,Proposed
FY14-15,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,IP01,MAYOR'S SUPPORT,Expense,55212,Operation & Maintenance,Registration and Tuition,600,600,3,Proposed
FY14-15,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,IP01,MAYOR'S SUPPORT,Expense,56124,Internal Services & Work Orders,City Contract Compliance Dept-Purchasing Services,85,85,3,Proposed
FY14-15,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,IP01,MAYOR'S SUPPORT,Expense,55311,Operation & Maintenance,Memberships: Employee Association Dues,700,700,3,Proposed
FY14-15,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,IP01,MAYOR'S SUPPORT,Expense,56113,Internal Services & Work Orders,Facilities: General Support,213126,213126,3,Proposed
FY14-15,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,IP01,MAYOR'S SUPPORT,Expense,53116,Services & Supplies,Telephone,22000,22000,3,Proposed
FY14-15,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,IP01,MAYOR'S SUPPORT,Expense,52911,Services & Supplies,Bottled Water and Food for Human Consumption,2100,2100,3,Proposed
FY14-15,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,IP01,MAYOR'S SUPPORT,Expense,55113,Operation & Maintenance,Meals,561,561,3,Proposed
FY14-15,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,IP01,MAYOR'S SUPPORT,Expense,55114,Operation & Maintenance,Per Diem and Lodging,17441,17441,3,Proposed
FY14-15,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,IP01,MAYOR'S SUPPORT,Expense,52921,Services & Supplies,Miscellaneous Operating Expenditures,970,970,3,Proposed
FY14-15,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,IP01,MAYOR'S SUPPORT,Expense,56312,Internal Services & Work Orders,Duplicating,22000,22000,3,Proposed
FY14-15,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,IP01,MAYOR'S SUPPORT,Expense,51212,Civilian Salaries,Civilian: Other Overtime,8960,8960,3,Proposed
FY14-15,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,IP01,MAYOR'S SUPPORT,Expense,51611,Civilian Retirement,Civilian: Retirement Accrual,327400,327400,3,Proposed
FY14-15,Mayor,Mayor,1111,Mayor: Administration,1760,Telecommunications Reserve,IP01,MAYOR'S SUPPORT,Expense,51511,Civilian Salaries,Civilian: Paid Leave Charge,13266,13266,3,Proposed
FY14-15,Mayor,Mayor,1111,Mayor: Administration,1760,Telecommunications Reserve,IP01,MAYOR'S SUPPORT,Expense,51613,Civilian Fringe Benefits,Civilian: Fringe Benefits Accrual,24234,24234,3,Proposed
FY14-15,Mayor,Mayor,1111,Mayor: Administration,1760,Telecommunications Reserve,IP01,MAYOR'S SUPPORT,Expense,51611,Civilian Retirement,Civilian: Retirement Accrual,17831,17831,3,Proposed
FY14-15,Mayor,Mayor,1111,Mayor: Administration,1760,Telecommunications Reserve,IP01,MAYOR'S SUPPORT,Expense,51111,Civilian Salaries,Civilian: Regular,48008,48008,3,Proposed
FY14-15,Mayor,Mayor,1111,Mayor: Administration,2251,Measure Y: Public Safety Act 2004,IP01,MAYOR'S SUPPORT,Expense,51613,Civilian Fringe Benefits,Civilian: Fringe Benefits Accrual,19387,19387,3,Proposed
FY14-15,Mayor,Mayor,1111,Mayor: Administration,2251,Measure Y: Public Safety Act 2004,IP01,MAYOR'S SUPPORT,Expense,51611,Civilian Retirement,Civilian: Retirement Accrual,14265,14265,3,Proposed
FY14-15,Mayor,Mayor,1111,Mayor: Administration,2251,Measure Y: Public Safety Act 2004,IP01,MAYOR'S SUPPORT,Expense,51111,Civilian Salaries,Civilian: Regular,38406,38406,3,Proposed
FY14-15,Mayor,Mayor,1111,Mayor: Administration,2251,Measure Y: Public Safety Act 2004,IP01,MAYOR'S SUPPORT,Expense,51511,Civilian Salaries,Civilian: Paid Leave Charge,10613,10613,3,Proposed
FY14-15,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,56123,Internal Services & Work Orders,City Accounting Services,2054,2054,3,Proposed
FY14-15,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,54811,Contract Services,Temporary Personnel Services,2000,2000,3,Proposed
FY14-15,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,54711,Contract Services,Printing and Duplicating Services,600,600,3,Proposed
FY14-15,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51611,Civilian Retirement,Civilian: Retirement Accrual,31447,31447,3,Proposed
FY14-15,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,55211,Operation & Maintenance,Periodical Subscriptions,250,250,3,Proposed
FY14-15,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,53116,Services & Supplies,Telephone,26020,26020,3,Proposed
FY14-15,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,52211,Services & Supplies,Stationery and Office Supplies,3000,3000,3,Proposed
FY14-15,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,54011,Contract Services,Contract Contingencies (Budgetary Only),30000,30000,3,Proposed
FY14-15,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51613,Civilian Fringe Benefits,Civilian: Fringe Benefits Accrual,42739,42739,3,Proposed
FY14-15,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51912,Sworn Salaries,Adjustments: Miscellaneous Payroll (Not Subject to Retirement),-45768,-45768,3,Proposed
FY14-15,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,53313,Services & Supplies,Official Hospitality,9000,9000,3,Proposed
FY14-15,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,56124,Internal Services & Work Orders,City Contract Compliance Dept-Purchasing Services,68,68,3,Proposed
FY14-15,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51111,Civilian Salaries,Civilian: Regular,84669,84669,3,Proposed
FY14-15,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,56113,Internal Services & Work Orders,Facilities: General Support,178368,178368,3,Proposed
FY14-15,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,56312,Internal Services & Work Orders,Duplicating,7170,7170,3,Proposed
FY14-15,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51511,Civilian Salaries,Civilian: Paid Leave Charge,23395,23395,3,Proposed
FY14-15,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,54611,Contract Services,Repair and Maintenance: Machinery and Equipment,500,500,3,Proposed
FY14-15,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,52911,Services & Supplies,Bottled Water and Food for Human Consumption,15000,15000,3,Proposed
FY14-15,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,53611,Services & Supplies,Postage and Mailing,1400,1400,3,Proposed
FY14-15,City Council,City Council,111,District One,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,54919,Contract Services,Services: Miscellaneous Contract,500,500,3,Proposed
FY14-15,City Council,City Council,111,District One,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51912,Sworn Salaries,Adjustments: Miscellaneous Payroll (Not Subject to Retirement),-41660,-41660,3,Proposed
FY14-15,City Council,City Council,111,District One,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,55114,Operation & Maintenance,Per Diem and Lodging,400,400,3,Proposed
FY14-15,City Council,City Council,111,District One,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,53611,Services & Supplies,Postage and Mailing,400,400,3,Proposed
FY14-15,City Council,City Council,111,District One,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,52211,Services & Supplies,Stationery and Office Supplies,220,220,3,Proposed
FY14-15,City Council,City Council,111,District One,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51613,Civilian Fringe Benefits,Civilian: Fringe Benefits Accrual,93012,93012,3,Proposed
FY14-15,City Council,City Council,111,District One,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,55212,Operation & Maintenance,Registration and Tuition,1500,1500,3,Proposed
FY14-15,City Council,City Council,111,District One,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,55112,Operation & Maintenance,Commercial Transportation,100,100,3,Proposed
FY14-15,City Council,City Council,111,District One,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,53313,Services & Supplies,Official Hospitality,2910,2910,3,Proposed
FY14-15,City Council,City Council,111,District One,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51313,Civilian Salaries,"Allowance: Auto Flat (1, 2, Partially 3)",6600,6600,3,Proposed
FY14-15,City Council,City Council,111,District One,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51611,Civilian Retirement,Civilian: Retirement Accrual,69253,69253,3,Proposed
FY14-15,City Council,City Council,111,District One,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,56312,Internal Services & Work Orders,Duplicating,350,350,3,Proposed
FY14-15,City Council,City Council,111,District One,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,55119,Operation & Maintenance,"Miscellaneous Travel Expenditures (Tips, Parking)",1420,1420,3,Proposed
FY14-15,City Council,City Council,111,District One,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,54619,Contract Services,Repair and Maintenance: Miscellaneous,360,360,3,Proposed
FY14-15,City Council,City Council,111,District One,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,53116,Services & Supplies,Telephone,1290,1290,3,Proposed
FY14-15,City Council,City Council,111,District One,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51111,Civilian Salaries,Civilian: Regular,201021,201021,3,Proposed
FY14-15,City Council,City Council,111,District One,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51511,Civilian Salaries,Civilian: Paid Leave Charge,36961,36961,3,Proposed
FY14-15,City Council,City Council,111,District One,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,55311,Operation & Maintenance,Memberships: Employee Association Dues,100,100,3,Proposed
FY14-15,City Council,City Council,111,District One,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,54711,Contract Services,Printing and Duplicating Services,200,200,3,Proposed
FY14-15,City Council,City Council,211,District Two,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,56312,Internal Services & Work Orders,Duplicating,300,300,3,Proposed
FY14-15,City Council,City Council,211,District Two,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,55311,Operation & Maintenance,Memberships: Employee Association Dues,500,500,3,Proposed
FY14-15,City Council,City Council,211,District Two,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51611,Civilian Retirement,Civilian: Retirement Accrual,69253,69253,3,Proposed
FY14-15,City Council,City Council,211,District Two,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51511,Civilian Salaries,Civilian: Paid Leave Charge,36961,36961,3,Proposed
FY14-15,City Council,City Council,211,District Two,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,53116,Services & Supplies,Telephone,800,800,3,Proposed
FY14-15,City Council,City Council,211,District Two,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,52213,Services & Supplies,"Minor Computer Hardware and Software (No Asset Number, Not Capitalized)",2010,2010,3,Proposed
FY14-15,City Council,City Council,211,District Two,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51912,Sworn Salaries,Adjustments: Miscellaneous Payroll (Not Subject to Retirement),-41996,-41996,3,Proposed
FY14-15,City Council,City Council,211,District Two,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,53313,Services & Supplies,Official Hospitality,1730,1730,3,Proposed
FY14-15,City Council,City Council,211,District Two,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,54919,Contract Services,Services: Miscellaneous Contract,750,750,3,Proposed
FY14-15,City Council,City Council,211,District Two,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,52211,Services & Supplies,Stationery and Office Supplies,250,250,3,Proposed
FY14-15,City Council,City Council,211,District Two,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51613,Civilian Fringe Benefits,Civilian: Fringe Benefits Accrual,93012,93012,3,Proposed
